ROUND #1
17:22:59.251 -> YELLOW,103,131,54
17:23:00.118 -> YELLOW,102,134,57
17:23:01.171 -> YELLOW,103,131,54
17:23:02.674 -> YELLOW,86,113,49
17:23:03.853 -> YELLOW,123,135,59
17:23:05.280 -> YELLOW,130,159,61
17:23:06.115 -> YELLOW,123,158,62
17:23:09.420 -> YELLOW,122,156,64
17:23:10.286 -> YELLOW,118,144,61
17:23:11.417 -> YELLOW,133,144,61
17:23:22.482 -> GREEN,34,127,52
17:23:24.041 -> GREEN,31,111,51
17:23:24.832 -> GREEN,32,124,52
17:23:25.486 -> GREEN,34,107,50
17:23:26.289 -> GREEN,32,115,49
17:23:27.021 -> GREEN,41,139,51
17:23:27.766 -> GREEN,37,136,51
17:23:28.624 -> GREEN,31,111,49
17:23:29.928 -> GREEN,32,102,47
17:23:30.793 -> GREEN,32,109,52
17:24:00.242 -> LIGHT BLUE,6,61,127
17:24:01.481 -> LIGHT BLUE,5,61,122
17:24:04.638 -> LIGHT BLUE,10,111,127
17:24:05.704 -> LIGHT BLUE,9,88,133
17:24:06.456 -> LIGHT BLUE,6,58,136
17:24:07.388 -> LIGHT BLUE,9,100,136
17:24:08.434 -> LIGHT BLUE,9,98,127
17:24:09.390 -> LIGHT BLUE,8,102,124
17:24:10.798 -> LIGHT BLUE,6,58,123
17:24:12.293 -> LIGHT BLUE,5,54,117
17:24:26.436 -> DARK BLUE,6,36,64
17:24:27.002 -> DARK BLUE,4,23,66
17:24:27.808 -> DARK BLUE,6,37,68
17:24:28.777 -> DARK BLUE,3,19,64
17:24:29.437 -> DARK BLUE,6,20,65
17:24:30.253 -> DARK BLUE,6,18,64
17:24:31.349 -> DARK BLUE,3,19,56
17:24:32.242 -> DARK BLUE,3,23,67
17:24:33.098 -> DARK BLUE,5,32,62
17:24:34.025 -> DARK BLUE,3,21,66
17:24:45.082 -> PURPLE,28,29,73
17:24:46.759 -> PURPLE,25,34,67
17:24:47.588 -> PURPLE,23,34,72
17:24:48.363 -> PURPLE,24,34,70
17:24:49.105 -> PURPLE,32,32,72
17:24:50.478 -> PURPLE,27,29,72
17:24:51.221 -> PURPLE,23,29,65
17:24:52.066 -> PURPLE,29,36,75
17:24:53.354 -> PURPLE,25,31,74
17:24:54.054 -> PURPLE,23,37,73
17:25:03.518 -> PINK,129,104,132
17:25:04.263 -> PINK,113,100,134
17:25:04.952 -> PINK,118,113,131
17:25:05.733 -> PINK,100,101,117
17:25:06.456 -> PINK,99,90,116
17:25:07.381 -> PINK,89,91,119
17:25:09.891 -> PINK,126,120,130
17:25:11.747 -> PINK,116,100,155
17:25:12.972 -> PINK,113,108,131
17:25:14.091 -> PINK,125,121,136
17:25:24.591 -> WHITE,90,166,206
17:25:26.272 -> WHITE,100,136,202
17:25:26.971 -> WHITE,89,131,181
17:25:28.881 -> WHITE,121,228,197
17:25:29.557 -> WHITE,122,220,198
17:25:30.254 -> WHITE,109,194,218
17:25:31.124 -> WHITE,85,142,213
17:25:32.061 -> WHITE,111,206,210
17:25:32.795 -> WHITE,106,176,230
17:25:33.633 -> WHITE,111,192,251
